,company,job-title,level
1421,Congo Brands,Director of Sales (C-Store),Director
1422,CV Resources,National Account Manager,Mid-Senior level
1423,Magic Spoon,Director of Sales Strategy & Planning,Director
1424,Davalyn Corporation,Sales Director,Director
1425,Davalyn Corporation,Sales Director,Director
1426,Coca-Cola Beverages Florida,District Sales Manager,Mid-Senior level
1427,Sanhua International USA,Key Account Manager,Mid-Senior level
1428,PRIME,Area Sales Manager,Mid-Senior level
1429,Rich Products Corporation,District Sales Manager,Mid-Senior level
1430,Four Seasons Hotels and Resorts,Director of Sales,Not Applicable
1431,Cartier,Sales Experience Manager,Mid-Senior level
1432,DOLCE&GABBANA,Sales Manager,Not Applicable
1433,Bridgestone Americas,Area Sales Manager,Mid-Senior level
1434,Anheuser-Busch,Senior Key Account Manager,Mid-Senior level
1435,Electriq Power,Area Sales Manager,Director
1436,Dole Sunshine Company,"Regional Sales Manager, Private Label",Mid-Senior level
1437,Milan Laser Hair Removal,Sales Manager,Entry level
1438,Health-Ade,"Director of Sales, Mass & Value Channels",Director
1439,Milan Laser Hair Removal,Sales Manager,Entry level
1440,Congo Brands,Area Sales Manager,Mid-Senior level
1441,Stony Brook University,Regional Sales Manager,Mid-Senior level
1442,Thomas James Homes,Area Sales Manager - Base salary $125 + Commission,Mid-Senior level
1443,LinkedIn,Sales Manager (Enterprise Solutions Group) - LinkedIn Marketing Solutions,Not Applicable
1444,"Medical Careers, Inc.",Regional Sales Manager,Mid-Senior level
1445,LinkedIn,Sales Manager (Enterprise Solutions Group) - LinkedIn Marketing Solutions,Not Applicable
1446,Kia America,District Sales Manager,Mid-Senior level
1447,"Mattel, Inc.",Key Account Manager,Not Applicable
1448,Davalyn Corporation,Sales Director,Director
1449,"Medical Careers, Inc.",Regional Sales Manager,Mid-Senior level
1450,Brunello Cucinelli,Wholesale Sales Manager (Men's),Mid-Senior level
1451,Reyes Coca-Cola Bottling,Director of Sales Operations,Not Applicable
1452,Bosch USA,Sales Development Manager,Associate
1453,ESPN,"Manager, HR Business Partner",Mid-Senior level
1454,Acer,Human Resources Business Partner,Mid-Senior level
1455,Theory,Human Resources Business Partner,Mid-Senior level
1456,The Phoenix Group,Human Resources Manager,Director
1457,Benefit Recovery Group,Associate Director of HR Operations,Director
1458,ALPLA Group,Regional HR Business Partner,Mid-Senior level
1459,eLocal,Human Resources (HR) Manager/ Senior Manager,Mid-Senior level
1460,Albertsons Companies,"Regional Director, Supply Chain Human Resources",Director
1461,CoberonChronos,Human Resources Business Partner,Mid-Senior level
1462,ALPLA Group,Regional HR Business Partner,Mid-Senior level
1463,Quest Talent Solutions,Senior Human Resources Manager,Mid-Senior level
1464,CoberonChronos,Human Resources Business Partner,Mid-Senior level
1465,Hermès,"Human Resources Business Partner, Northern Region",Mid-Senior level
1466,"Mattel, Inc.","Manager, Human Resources - Marketing",Not Applicable
1467,eLocal,Human Resources (HR) Manager/ Senior Manager,Mid-Senior level
1468,Radiant Digital,Global HR Manager,Mid-Senior level
1469,Atlas Search,Human Resources Director,Director
1470,Medmo,Human Resources Manager,Full-Time
1471,JONESWORKS,Director of Human Resources,Director
1472,Everlane,Human Resources Business Partner,Mid-Senior level
1473,Saks OFF 5TH,HR Manager Northeast and NY/NJ Metro,Mid-Senior level
1474,"Mattel, Inc.","Manager, Human Resources - Marketing",Not Applicable
1475,Alpha Square Group,Human Resources Manager,Full-Time
1476,The Phoenix Group,HR Manager,Mid-Senior level
1477,Quest Talent Solutions,Senior Human Resources Manager,Mid-Senior level
1478,Considine Search,Human Resources Director,Director
1479,Bambee,Human Resources Manager,Mid-Senior level
1480,BioLegend,"Senior Manager, Human Resources",Mid-Senior level
1481,Chicken of the Sea,"Human Resources Business Partner, COSI (Pittsburgh, PA - Hybrid)",Mid-Senior level
